Vraw= -39.813 mV | Vcorr=  -0.379 mV | G2 (105.0) | Idx: 190
Vraw= -41.122 mV | Vcorr=  -0.392 mV | G2 (105.0) | Idx: 191
Vraw= -50.882 mV | Vcorr=  -0.485 mV | G2 (105.0) | Idx: 192
Vraw= -51.998 mV | Vcorr=  -0.495 mV | G2 (105.0) | Idx: 193
Vraw= -47.661 mV | Vcorr=  -0.454 mV | G2 (105.0) | Idx: 194
Vraw= -42.561 mV | Vcorr=  -0.405 mV | G2 (105.0) | Idx: 195
Vraw= -42.473 mV | Vcorr=  -0.405 mV | G2 (105.0) | Idx: 196
Vraw= -43.345 mV | Vcorr=  -0.413 mV | G2 (105.0) | Idx: 197
Vraw= -41.579 mV | Vcorr=  -0.396 mV | G2 (105.0) | Idx: 198
Vraw= -38.942 mV | Vcorr=  -0.371 mV | G2 (105.0) | Idx: 199
Vraw= -37.971 mV | Vcorr=  -0.362 mV | G2 (105.0) | Idx: 200
Vraw= -38.148 mV | Vcorr=  -0.363 mV | G2 (105.0) | Idx: 201
Vraw= -46.199 mV | Vcorr=  -0.440 mV | G2 (105.0) | Idx: 202
Vraw= -55.266 mV | Vcorr=  -0.526 mV | G2 (105.0) | Idx: 203
Vraw= -49.135 mV | Vcorr=  -0.468 mV | G2 (105.0) | Idx: 204
Vraw= -52.035 mV | Vcorr=  -0.496 mV | G2 (105.0) | Idx: 205
Vraw= -52.288 mV | Vcorr=  -0.498 mV | G2 (105.0) | Idx: 206
Vraw= -52.734 mV | Vcorr=  -0.502 mV | G2 (105.0) | Idx: 207
Vraw= -50.143 mV | Vcorr=  -0.478 mV | G2 (105.0) | Idx: 208
Vraw= -42.805 mV | Vcorr=  -0.408 mV | G2 (105.0) | Idx: 209
Vraw= -39.283 mV | Vcorr=  -0.374 mV | G2 (105.0) | Idx: 210
Vraw= -49.494 mV | Vcorr=  -0.471 mV | G2 (105.0) | Idx: 211
Vraw= -55.904 mV | Vcorr=  -0.532 mV | G2 (105.0) | Idx: 212
Vraw= -49.986 mV | Vcorr=  -0.476 mV | G2 (105.0) | Idx: 213
